Time,id,pm1,pm2.5,pm4,pm10
1900-01-01 20:30:00,4229336,3,3,3,3
1900-01-01 20:30:00,4229336,2,3,3,3
1900-01-01 20:30:00,4229336,2,2,2,2
1900-01-01 20:30:00,4229336,3,3,3,3
1900-01-01 20:30:00,4229336,2,3,3,3
1900-01-01 20:30:00,4229336,3,3,3,3
1900-01-01 20:30:00,4229336,2,3,3,3
1900-01-01 20:30:00,4229336,3,3,3,3
1900-01-01 20:30:00,4229336,2,3,3,3
1900-01-01 20:40:00,4229336,3,3,3,3
1900-01-01 20:40:00,4229336,3,3,3,3
1900-01-01 20:40:00,4229336,3,3,3,3
1900-01-01 20:40:00,4229336,3,3,3,3
1900-01-01 20:40:00,4229336,3,3,3,3
1900-01-01 20:40:00,4229336,3,3,3,3
1900-01-01 20:40:00,4229336,3,3,3,3
1900-01-01 20:40:00,4229336,2,3,3,3
1900-01-01 20:40:00,4229336,2,2,2,2
1900-01-01 20:40:00,4229336,3,3,3,3
1900-01-01 20:40:00,4229336,3,3,3,3
1900-01-01 20:50:00,4229336,3,3,3,3
1900-01-01 20:50:00,4229336,3,3,3,3
1900-01-01 20:50:00,4229336,3,3,3,3
1900-01-01 20:50:00,4229336,3,4,4,4
1900-01-01 20:50:00,4229336,3,3,3,3
1900-01-01 20:50:00,4229336,3,3,3,3
1900-01-01 20:50:00,4229336,3,4,4,4
1900-01-01 20:50:00,4229336,3,3,3,3
1900-01-01 20:50:00,4229336,3,3,3,3
1900-01-01 20:50:00,4229336,3,3,3,3
1900-01-01 20:50:00,4229336,3,4,4,4
1900-01-01 21:00:00,4229336,4,4,4,4
1900-01-01 21:00:00,4229336,3,3,3,3
1900-01-01 21:00:00,4229336,4,4,4,4
1900-01-01 21:00:00,4229336,3,4,4,4
1900-01-01 21:00:00,4229336,3,4,4,4
1900-01-01 21:00:00,4229336,3,3,3,3
1900-01-01 21:00:00,4229336,4,4,4,4
1900-01-01 21:00:00,4229336,4,4,4,4
1900-01-01 21:00:00,4229336,4,4,4,4
1900-01-01 21:00:00,4229336,3,4,4,4
1900-01-01 21:00:00,4229336,3,4,4,4
1900-01-01 21:10:00,4229336,3,3,3,3
1900-01-01 21:10:00,4229336,3,3,3,3
1900-01-01 21:10:00,4229336,3,3,3,3
1900-01-01 21:10:00,4229336,4,4,4,4
1900-01-01 21:10:00,4229336,3,3,3,3
1900-01-01 21:10:00,4229336,4,4,4,4
1900-01-01 21:10:00,4229336,4,4,4,4
1900-01-01 21:10:00,4229336,3,3,3,3
1900-01-01 21:10:00,4229336,4,4,4,4
1900-01-01 21:10:00,4229336,3,3,3,3
1900-01-01 21:10:00,4229336,3,4,4,4
1900-01-01 21:20:00,4229336,4,4,4,4
1900-01-01 21:20:00,4229336,4,4,4,4
1900-01-01 21:20:00,4229336,3,4,4,4
1900-01-01 21:20:00,4229336,4,4,4,4
1900-01-01 21:20:00,4229336,4,4,4,4
1900-01-01 21:20:00,4229336,3,4,4,4
1900-01-01 21:20:00,4229336,4,4,4,4
1900-01-01 21:20:00,4229336,4,4,4,4
1900-01-01 21:20:00,4229336,4,4,4,4
1900-01-01 21:20:00,4229336,4,4,4,4
1900-01-01 21:20:00,4229336,4,4,4,4
1900-01-01 21:30:00,4229336,4,4,4,4
1900-01-01 21:30:00,4229336,4,4,4,4
1900-01-01 21:30:00,4229336,4,4,4,4
1900-01-01 21:30:00,4229336,4,4,4,4
1900-01-01 21:30:00,4229336,4,4,4,4
1900-01-01 21:30:00,4229336,4,4,4,4
1900-01-01 21:30:00,4229336,4,4,4,4
1900-01-01 21:30:00,4229336,4,4,4,4
1900-01-01 21:30:00,4229336,4,4,4,4
1900-01-01 21:30:00,4229336,4,4,4,4
1900-01-01 21:30:00,4229336,4,4,4,4
1900-01-01 21:40:00,4229336,4,4,4,4
1900-01-01 21:40:00,4229336,4,4,4,4
1900-01-01 21:40:00,4229336,4,4,4,4
1900-01-01 21:40:00,4229336,4,4,4,4
1900-01-01 21:40:00,4229336,4,5,5,5
1900-01-01 21:40:00,4229336,4,4,4,4
1900-01-01 21:40:00,4229336,5,5,5,5
1900-01-01 21:40:00,4229336,4,4,4,4
1900-01-01 21:40:00,4229336,4,4,4,4
1900-01-01 21:40:00,4229336,4,5,5,5
1900-01-01 21:40:00,4229336,5,5,5,5
1900-01-01 21:50:00,4229336,4,4,4,4
1900-01-01 21:50:00,4229336,4,4,4,4
1900-01-01 21:50:00,4229336,4,5,5,5
1900-01-01 21:50:00,4229336,4,5,5,5
1900-01-01 21:50:00,4229336,4,4,4,4
1900-01-01 21:50:00,4229336,4,4,4,4
1900-01-01 21:50:00,4229336,4,4,4,4
1900-01-01 21:50:00,4229336,5,5,5,5
1900-01-01 21:50:00,4229336,4,5,5,5
1900-01-01 21:50:00,4229336,4,4,4,4
1900-01-01 21:50:00,4229336,4,4,4,4
